





PK;NOMBRE;SUBTIPO;DESCRIPCION;FECHA;AUTORES;PDF;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
409634;"A las víctimas del Holocausto";"Escultura conceptual o abstracta";"La obra, creada por el escultor judío de origen sefardí Samuel Nahón, se realizó como homenaje a todas las víctimas del Holocausto nazi durante la Segunda Guerra Mundial. Se trata de un grupo escultórico, fruto de un convenio firmado en 2005 entre el Ayuntamiento y la Comunidad Judía de Madrid, que está ubicado en las proximidades del Jardín de las Tres Culturas (símbolo de la convivencia en España de las civilizaciones hebrea, cristiana y musulmana), concretamente junto al Vergel de los Granados o Jardín Judío. Aunque no corresponde a los trabajos encargados con motivo del Simposium Internacional de Esculturas al Aire Libre organizado por el Ayuntamiento de Madrid en 1991 para la decoración del Parque Juan Carlos I, en la actualidad es una de las piezas (concretamente la n&amp;ordm; 19) que integra la llamada Senda de las Esculturas, un recorrido artístico-didáctico por todo el parque donde el visitante percibe las vinculaciones entre el Arte y la Naturaleza, a través de una serie de creaciones de diferentes escultores que exhiben una gran variedad de propuestas estéticas. El monumento fue inaugurado el 15 de abril de 2007 en un acto solemne al que acudieron, entre otros, el alcalde de Madrid Alberto Ruiz Gallardón, el presidente de la Comunidad Judía en Madrid Jacobo Israel Garzón, el Defensor del Pueblo Enrique Múgica y el embajador de Israel en España Víctor Harel.";"2005";"NAHÓN BENGIO, Samuel - STISIN, Alberto";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/409634.pdf?idMonumento=6148091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6148091d1b9c4510091d1b9c45102e085a0aRCRD";"";"";"V";"";"";"";"";"";"MADRID";"MADRID";"";"CORRALEJOS";"BARAJAS";"448758";"4479605";"";"";"";"";"";""; 
409512;"A los Abuelos";"Grupo Escultórico";"Pequeña escultura, situada en un parque delimitado por la intersección entre las calles Alicún y Purchena, que fue donada por la cercana Escuela Infantil “El Carmen” al Concejal del Distrito Jorge Tapia. La obra constituye un homenaje a los abuelos y abuelas que cuidan de sus nietos.";"1994";"M., Esther";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/409512.pdf?idMonumento=2e28091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=2e28091d1b9c4510091d1b9c45102e085a0aRCRD";"Alicún";"C";"V";"";"";"";"";"";"MADRID";"MADRID";"";"APÓSTOL SANTIAGO";"HORTALEZA";"443913";"4481224";"40.479811874274304";"-3.6617189257190366";"";"";"";""; 
408781;"A Neruda-El Ser alado";"Estatua";"Monumento dedicado al escritor Pablo Neruda (1904-1973), célebre poeta chileno que recibió el premio Nobel de Literatura en 1971 y que da nombre a esta importante avenida madrileña del distrito de Puente de Vallecas. La obra, conocida como El Ser Alado, fue realizada en 1988 por el grabador, pintor y escultor menorquín Matías Quetglás (Ciudadela, 1946). Está situada sobre uno de los portales del bloque de viviendas ubicado en el número 116 de la avenida de Pablo Neruda, proyectado por los arquitectos Pablo Carvajal Urquijo, Juan Montes Mieza y Manuel Paredes Grosso en 1986, y edificado entre 1987 y 1989.";"1988";"QUETGLÁS, Matías";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408781.pdf?idMonumento=a218091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a218091d1b9c4510091d1b9c45102e085a0aRCRD";"José Luis Ozores";"Gta";"V";"116";"";"";"";"";"MADRID";"MADRID";"";"PORTAZGO";"PUENTE DE VALLECAS";"444621";"4470345";"40.38185544198019";"-3.652418582261822";"";"";"";""; 
408836;"Abogados Laboristas";"Elemento conmemorativo, Lápida";"El 24 de enero de 1977 se produjo un atentado terrorista en un despacho de abogados en derecho laboral de Comisiones Obreras y del Partido Comunista, todavía ilegal, matando a los abogados Enrique Vandelvira, Javier Benavides y Javier Sauquillo, al estudiante de derecho Serafín Holgado y el administrativo Ángel Rodríguez, dejando cuatro heridos. Fue cometido por un comando de la extrema derecha, la Triple A, Alianza Apostólica Anticomunista.A iniciativa del Ayuntamiento de Madrid y en recuerdo del asesinato se instaló esta lápida el 24 de enero de 1987, en el décimo aniversario del atentado.El diseño de la lápida fue realizado por Joaquín Roldán, Arquitecto Jefe de la Sección del Patrimonio Histórico-Artístico del Departamento de Conservación de Edificaciones, y ejecutado por la Empresa CONSTRUCCIONES B. BELTRÁN, S.A.";"1987";"ROLDÁN PASCUAL, Joaquín";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408836.pdf?idMonumento=02c8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=02c8091d1b9c4510091d1b9c45102e085a0aRCRD";"Atocha";"C";"V";"55";"";"";"";"";"MADRID";"MADRID";"";"CORTES";"CENTRO";"440608";"4473823";"40.41291066085913";"-3.7000168301267395";"";"";"";""; 
408920;"Abstracta I";"Escultura conceptual o abstracta";"La histórica quinta de la Fuente del Berro, declarada Jardín Artístico según decretos de 31 de julio de 1941 y 4 de Enero de 1946. fue adquirida por el Ayuntamiento de Madrid siendo alcalde el conde de Mayalde, según escritura de 21 de junio de 1948. A partir de ese momento, el Ayuntamiento abordó una reforma del conjunto, cerrando el palacete y abriendo los jardines en 1953 como parque público. Algunas de las piezas escultóricas que lo ornamentaban fueron retiradas por su último propietario don Mauritz van Eehgen, con lo cual el Ayuntamiento de Madrid tuvo la posibilidad de ir colocando en el lugar nuevas esculturas, de las cuales algunas son figurativas, conmemorativas, o abstractas; como esta pieza del escultor madrileño Fernando González Calisavo, más conocido como Gayo, que se ubica en medio de una pradera, enfrentada a otra escultura del mismo autor.";"1992";"GONZÁLEZ CALISAVO, Fernando";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408920.pdf?idMonumento=c938091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=c938091d1b9c4510091d1b9c45102e085a0aRCRD";"";"";"V";"";"";"";"";"";"MADRID";"MADRID";"";"FUENTE DEL BERRO";"SALAMANCA";"443926";"4474987";"40.421745563287864";"-3.6622930226849992";"";"";"";""; 
408921;"Abstracta II";"Escultura conceptual o abstracta";"La histórica quinta de la Fuente del Berro, declarada Jardín Artístico según decretos de 31 de julio de 1941 y 4 de Enero de 1946, fue adquirida por el Ayuntamiento de Madrid siendo alcalde el conde de Mayalde, según escritura de 21 de junio de 1948. A partir de ese momento, el Ayuntamiento abordó una reforma del conjunto, cerrando el palacete y abriendo los jardines en 1953 como parque público. Algunas de las piezas escultóricas que lo ornamentaban fueron retiradas por su último propietario don Mauritz van Eehgen, con lo cual el Ayuntamiento de Madrid tuvo la posibilidad de ir colocando en el lugar nuevas esculturas, de las cuales algunas son figurativas, conmemorativas, o abstractas; como esta pieza del escultor madrileño Fernando González Calisavo, más conocido como Gayo, que se ubica en medio de una pradera, enfrentada a otra escultura del mismo autor.";"1992";"GONZÁLEZ CALISAVO, Fernando";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/408921.pdf?idMonumento=e938091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=e938091d1b9c4510091d1b9c45102e085a0aRCRD";"";"";"V";"";"";"";"";"";"MADRID";"MADRID";"";"FUENTE DEL BERRO";"SALAMANCA";"443819";"4474803";"40.4219619708435";"-3.6622597814331255";"";"";"";""; 
400147;"Abundancia";"Grupo Escultórico";"En el año 1958 se celebró un sorteo extraordinario de la Lotería Nacional con el fin de recabar fondos para construir una nueva sede para la Central de Loterías y Apuestas del Estado, que sustituyese a la que desde 1932 se hallaba en la calle de Montalbán. El nuevo edificio se inauguró en 1963 al final de la calle de Guzmán el Bueno, y fue construido según un proyecto de corte monumentalista –pero moderno en sus detalles– diseñado por el arquitecto Manuel Ródenas, autor de otras obras destinadas a las Aduanas del Estado durante esos años, que en la enfática entrada retranqueada respecto de la calle dispuso dos grupos escultóricos flanqueando la plataforma escalonada donde se abren las puertas principales. Estos grupos fueron realizados por el escultor murciano –de Espinardo– José Planes Peñalver (1891-1974), artista con una carrera llena de éxitos –como el Premio Nacional de Escultura de 1932 o el primer premio del Concurso Nacional de Bellas Artes del año 1943–, que en 1933 fundó la Escuela de Artes y Oficios de Murcia de la que fue director, y en 1960 fue nombrado académico de la Real Academia de Bellas Artes de San Fernando. Este edificio fue compartido con la Dirección General de Aduanas hasta el año 2000, lo que explica que se haya querido atribuir una representación simbólica a cada escultura en relación con las Aduanas o la Lotería, cuando los atributos que se hacen visibles corresponden a la Abundancia (un haz de trigo) o a la Fortuna (un cántaro con monedas).";"1963";"PLANES PEÑALVER, José - TORRES GUARDIA, José";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400147.pdf?idMonumento=a038091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=a038091d1b9c4510091d1b9c45102e085a0aRCRD";"GUZMAN EL BUENO";"CALLE";"V";"137";"";"";"";"";"MADRID";"MADRID";"28003";"VALLEHERMOSO";"CHAMBERI";"439568";"4477304";"40.444200911178676";"-3.712595448820414";"";"";"";""; 
414012;"Academia de Farmacia";"Elemento conmemorativo, Lápida";"La Academia de Farmacia tuvo como antecedente la Congregación y Colegio de Boticarios, cuya fundación data del siglo XVI. Felipe V, por Pragmática de 1737, creó el Real Colegio de Farmacéuticos; tras varios traslados por las calles Barquillo, Relatores y Atocha, finalmente se instaló en un edificio de la calle San Pedro. En 1830 el Estado creó el Colegio de Farmacia de San Fernando, que se trasladó a un nuevo edificio, construido por suscripción entre todos los farmacéuticos, en la calle San Juan, que pasaría entonces a llamarse calle Farmacia, donde estuvo hasta su traslado a la actual Facultad de Farmacia en la Universidad Complutense. Al terminar la Guerra Civil, recobró el título de Real y en 1946 fue incorporada al Instituto de España, como las demás Reales Academias.El edificio fue diseñado, dentro de la estética neoclásica del momento, por el arquitecto Pedro de Zengotitabengoa entre 1827 y 1830; la fachada, parcialmente cóncava, es simétrica, con tres cuerpos: de cinco vanos el central y tres los laterales; sobre el vano central del primer piso aparece una lápida de mármol, dedicada a Fernando VII recordando que bajo su reinado se construyó este edificio; posteriormente se añadió un frontón triangular, con escudo  timbrado de corona real, realizado en caliza blanca.Al celebrarse el centenario de la fundación de la Academia de Farmacia, se instalaron dos lápidas (una de ellas ha desaparecido), patrocinadas por los farmacéuticos colegiados.";"1930";"";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/414012.pdf?idMonumento=c2a8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=c2a8091d1b9c4510091d1b9c45102e085a0aRCRD";"Farmacia";"C";"V";"9";"";"";"";"";"MADRID";"MADRID";"";"JUSTICIA";"CENTRO";"440643";"4475050";"40.42396655835703";"-3.69971884411894";"";"";"";""; 
409550;"Acueducto y rejas sobre el arroyo del Barranco de la Zorra";"Puente, construcción civil";"Esta construcción, híbrida de puente-acueducto y puerta, alberga uno de los cerramientos con rejería de hierro de fundición, comúnmente conocidos como &amp;ldquo;rejas&amp;rdquo; de la Casa de Campo y concebido para permitir que los arroyos procedentes del municipio de Pozuelo de Alarcón discurrieran por su cauce natural hasta su desembocadura en el río Manzanares, atravesando el bosque real. Como tal, es una de las cinco rejas que han llegado a nuestros días: la del arroyo Meaques, la del arroyo de Prado del Rey, las dos del arroyo de Antequina y ésta del barranco del arroyo de la Zorra. Como todas ellas también, se enmarca en una obra en ladrillo construida por Francisco Sabatini, a la sazón arquitecto e ingeniero real, datada en 1768 y promovida a instancias de la Casa del Rey dentro del proyecto global de las infraestructuras hidráulicas de la Casa de Campo encomendadas al insigne arquitecto, siendo una demostración más de su reconocido talento técnico y de su versatilidad intelectual y artística, lo que ha debido de contribuir a su reciente inclusión en el Catálogo de monumentos y elementos urbanos por parte del Ayuntamiento de Madrid como elementos susceptibles de protección histórico-artística (nivel 1). En la actualidad, el muro o vallado de cerramiento al que se adosa ha quedado adjunto a una urbanización de viviendas unifamiliares apoyadas materialmente en el mismo.";"1768";"SABATINI, Francisco";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/409550.pdf?idMonumento=27e8091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=27e8091d1b9c4510091d1b9c45102e085a0aRCRD";"Húmera";"Cmno";"V";"";"";"";"";"";"MADRID";"MADRID";"";"CASA DE CAMPO";"MONCLOA-ARAVACA";"433825";"4474642";"";"";"";"";"";""; 
400108;"Ad Iesum per Mariam";"Grupo Escultórico";"El grupo escultórico conocido como &amp;ldquo;Camino de Santidad&amp;rdquo; está, dedicado al Papa polaco Juan Pablo II (1920-2005), y se debe a una iniciativa del presidente del Grupo Intereconomía, Julio Ariza Irigoyen, y del presidente de la Mutua Madrileña Automovilista, José María Ramírez Pomata. Fue sufragado por suscripción popular e inaugurado el 8 de Diciembre de 2005 en el paseo de la Castellana, junto Museo de Arte Abstracto al Aire Libre. En el año 2014 fue trasladado al parque municipal Juan Pablo II, un parque de más de 10 hectáreas situado entre el Pinar de Barajas, la Avenida del Papa Negro, la Avenida de los Andes y la Avenida de Machupichu.  La escultura se encargó al escultor emeritense Juan de Ávalos (1911-2006), célebre autor de las esculturas del Valle de los Caídos y otros muchos monumentos repartidos por toda la geografía hispana. Es una de las últimas obras de este autor, represaliado por el régimen franquista -a pesar de lo cual hizo los principales monumentos de ese periodo- que acudió repetidas veces a sus potentes cualidades expresivas para magnificar personajes y acontecimientos significativos de la Dictadura.En el año 2007 se añadieron dos nuevas inscripciones en las paredes laterales del pedestal.";"2005";"ÁVALOS GARCÍA TABORDA, Juan de";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/400108.pdf?idMonumento=6f28091d1b9c4510091d1b9c45102e085a0aRCRD&tipoMon=M";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6f28091d1b9c4510091d1b9c45102e085a0aRCRD";"MACHUPICHU";"AVENIDA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28043";"PIOVERA";"HORTALEZA";"447131";"4478496";"40.455452874785294";"-3.6235245684794966";"";"";"";""; 
