





ID-EVENTO TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
10995268;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-11-25 00:00:00.0";"2019-11-25 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=031117f605b3c610VgnVCM2000001f4a900aRCRD";"Cuentos infantiles en la Biblioteca P�blica Municipal Miguel Delibes";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=39d89e6ad12f1510VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e8f3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca P�blica Municipal Miguel Delibes (Moratalaz)";"444597";"4473439";"40.40971737692924";"-3.6529822109115133";"MORATALAZ";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10994784;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-10-14 00:00:00.0";"2019-10-14 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c1cda15564d2c610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca P�blica Municipal Mario Vargas Llosa (Centro)";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"CENTRO";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10991642;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-10-15 00:00:00.0";"2019-10-15 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9d3b8828ad1c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca P�blica Municipal Conde Duque (Centro)";"439723";"4475438";"40.42738668300474";"-3.7105999955473625";"CENTRO";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10991482;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-10-17 00:00:00.0";"2019-10-17 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2116c4b4e791c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD";"Biblioteca P�blica Municipal Canillejas (San Blas-Canillejas)";"448119";"4477485";"40.44640229188281";"-3.6117933204271098";"SAN BLAS-CANILLEJAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10995608;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-11-27 00:00:00.0";"2019-11-27 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f769a06eaad3c610VgnVCM1000001d4a900aRCRD";"Cuentos infantiles en la Biblioteca P�blica Municipal Pozo del T�o Raimundo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3da48dbb262f1510VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7203d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca P�blica Municipal Pozo del T�o Raimundo (Puente de Vallecas)";"443950";"4469433";"40.3735856436473";"-3.6602546064905397";"PUENTE DE VALLECAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10994113;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-11-26 00:00:00.0";"2019-11-26 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e422283da182c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c5879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca P�blica Municipal Huerta de la Salud (Hortaleza)";"445295";"4480968";"40.47571688103069";"-3.64667257750353";"HORTALEZA";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10995290;"Abuelas, madres e hijas, de Alberto Sebasti�n";"";"1";"0";"";"";"2019-10-18 00:00:00.0";"2019-10-18 23:59:00.0";"18:00";"Un espect�culo de narraci�n oral conformado por una selecci�n de cuentos populares que han pasado de boca en boca y de oreja en oreja. Todas ellas tienen en com�n una serie de protagonistas femeninas. Ni�as y mujeres valientes que nos sirven de modelo. Historias con mujeres, de mujeres y hombres? V�monos de aventuras. Para ni�os y ni�as a partir de 5 a�os.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c78317f605b3c610VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=17f879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca P�blica Municipal P�o Baroja (Arganzuela)";"439967";"4472399";"40.40003652682007";"-3.7074488154950584";"ARGANZUELA";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Ni�os,/usuario/Familias";
10974004;"Acci�n!MAD12 - Acci�n!MAD18";"Entrada libre";"0";"1";"V,S,D";"";"2019-09-13 00:00:00.0";"2019-11-03 23:59:00.0";"";"Serge Pey (c) Abel Loureda";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c332633c41a6b610VgnVCM1000001d4a900aRCRD";"Acci�n!MAD12 - Acci�n!MAD18";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc32633c41a6b610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4582ee06ea5ee310VgnVCM2000000c205a0aRCRD";"Naves Matadero. Centro Internacional Artes Vivas";"440825";"4471546";"40.39241374953321";"-3.697247685884226";"ARGANZUELA";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
10986673;"Acci�n!MAD19";"Entrada libre";"1";"1";"M,X,J,V,S,D";"";"2019-09-13 00:00:00.0";"2019-11-03 23:59:00.0";"00:00";"Seiji Shimoda (c) Abel Loureda";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=295f500d061eb610VgnVCM1000001d4a900aRCRD";"ACCION!MAD19";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e5f500d061eb610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4582ee06ea5ee310VgnVCM2000000c205a0aRCRD";"Naves Matadero. Centro Internacional Artes Vivas";"440825";"4471546";"40.39241374953321";"-3.697247685884226";"ARGANZUELA";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11030734;"Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Octubre 2019";"";"1";"0";"";"";"2019-10-07 00:00:00.0";"2019-10-07 23:59:00.0";"18:00";"�Tienes dudas sobre nutrici�n, adicciones, sexualidad?, no te quedes con ellas, Isabel, educadora del CMSc te ayuda a resolverlas los lunes por la tarde en tu centro juvenil, �p�sate y pregunta!.    Fecha y hora de celebraci�n: todos los lunes de octubre de 18 a 20 horas.   Periodo de inscripci�n: sin inscripci�n previa.  Plazas: hasta completar aforo.   Con la colaboraci�n de CMSc";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fabb73d01cf7d610VgnVCM2000001f4a900aRCRD";"Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Octubre 2019";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d868027e7628d310VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD";"Centro Juvenil Hontalbilla (Fuencarral - El Pardo)";"441474";"4482632";"40.49231828430878";"-3.6906342081203283";"FUENCARRAL-EL PARDO";"";"/usuario/Jovenes";
11031654;"Acto de clausura con el Ballet ARA de Madrid";"";"1";"0";"";"";"2019-10-26 00:00:00.0";"2019-10-26 23:59:00.0";"19:00";"Acto de clasura de la Semana Cultural con la participaci�n del Ballet ARA de Madrid dirigido por Carmina Villar.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=08328b8d8528d610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Fernando de los R�os (Latina)";"435819";"4471933";"40.39552931214334";"-3.7562667464373223";"LATINA";"/contenido/actividades/DanzaBaile/FolcloreEtnica";"";
11031636;"Acto Inaugural";"";"1";"0";"";"";"2019-10-19 00:00:00.0";"2019-10-19 23:59:00.0";"19:00";"En el sal�n de actos del centro cultural.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=61818b8d8528d610VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Fernando de los R�os (Latina)";"435819";"4471933";"40.39552931214334";"-3.7562667464373223";"LATINA";"/contenido/actividades/CongresosJornadas";"";
10944540;"AGENCIA_RV. Grupo de investigaci�n y creaci�n de narrativas en Realidad Virtual";"";"0";"1";"L";"13/05/2019;27/05/2019;10/06/2019;24/06/2019;08/07/2019;22/07/2019;05/08/2019;12/08/2019;19/08/2019;26/08/2019;02/09/2019;16/09/2019;30/09/2019;14/10/2019;28/10/2019;11/11/2019;25/11/2019;09/12/2019;23/12/2019;30/12/2019;06/01/2020;20/01/2020;03/02/2020;17/02/2020;";"2019-05-06 00:00:00.0";"2020-02-10 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ce250cbb9d8a610VgnVCM1000001d4a900aRCRD";"AGENCIA_RV. Grupo de investigaci�n y creaci�n de narrativas en Realidad Virtual";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e0f250cbb9d8a610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79f59dacff4d7110VgnVCM1000000b205a0aRCRD";"Medialab - Prado";"441135";"4473558";"40.410560776119";"-3.6937931079230744";"CENTRO";"/contenido/actividades/CineActividadesAudiovisuales";"";
11004427;"Agua Salada";"";"0";"0";"";"";"2019-11-16 00:00:00.0";"2019-11-16 23:59:00.0";"";"C�a La Cl�  16 de noviembre de 2019Centro Cultural Meseta de Orcasitas (Pza. de la Asociaci�n, 1) En esta historia todo gira entorno al agua, en medio del mar rodeados de agua salada no encontramos agua potable, dentro de una manzana se esconde un vaso de agua y en las nubes se esconde un bid�n de agua de lluvia.El mar guarda muchas cosas, aventuras, sorpresas, peligros, tesoros y sobre todo guarda objetos perdidos. Unas cosas le pertenecen y otras muchas no. El mar espera que los due�os de cada cosa se pasen a recoger su objeto olvidado.La casa flotante 'Agua Corriente' navega surcando los mares flotando en el aire, por todos los oc�anos, en busca de tesoros olvidados, perdidos o desechados.    C�a. La Cl� nace en el a�o 2007 debido a la necesidad de contar grandes y peque�as cosas tanto a grandes como a peque�os espectadores. Apreciar lo cotidiano y lo peculiar, desde lo m�s �nfimo a lo magn�fico. La compa��a apuesta por la realizaci�n de proyectos de intervenci�n social, tratando de acercar el teatro a colectivos alejados de las manifestaciones culturales. Para ello la compa��a colabora en todas las iniciativas que la Asociaci�n el Garaje Teatro desarrolla.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4559c76614bc610VgnVCM1000001d4a900aRCRD";"Mirador Usera";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=30576961e6ffb610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bf8dc4219b5ee310VgnVCM2000000c205a0aRCRD";"Intermediae Matadero Madrid";"440825";"4471546";"40.39241367848808";"-3.697259467865366";"ARGANZUELA";"/contenido/actividades/DanzaBaile";"/usuario/Familias";
